2015-12-23 05:41:40 - MESSAGE - Import initialized!
2015-12-23 05:41:40 - MESSAGE - data.xml import started
2015-12-23 05:41:41 - MESSAGE - Import in progress...
2015-12-23 05:41:44 - MESSAGE - Import in progress...
2015-12-23 05:41:47 - MESSAGE - Import in progress...
2015-12-23 05:41:50 - MESSAGE - Import in progress...
2015-12-23 05:41:54 - MESSAGE - Import in progress...
2015-12-23 05:41:57 - MESSAGE - Import in progress...
2015-12-23 05:42:00 - MESSAGE - Import in progress...
2015-12-23 05:42:03 - MESSAGE - Import in progress...
2015-12-23 05:42:07 - MESSAGE - Import in progress...
2015-12-23 05:42:10 - MESSAGE - Import in progress...
2015-12-23 05:42:14 - MESSAGE - Import in progress...
2015-12-23 05:42:19 - MESSAGE - Import in progress...
2015-12-23 05:42:23 - MESSAGE - Import in progress...
2015-12-23 05:42:27 - MESSAGE - Import in progress...
2015-12-23 05:42:30 - MESSAGE - Import in progress...
2015-12-23 05:42:33 - MESSAGE - Import in progress...
2015-12-23 05:42:37 - MESSAGE - Import in progress...
2015-12-23 05:42:40 - MESSAGE - Import in progress...
2015-12-23 05:42:43 - MESSAGE - Import in progress...
2015-12-23 05:42:46 - MESSAGE - Import in progress...
2015-12-23 05:42:49 - MESSAGE - Import in progress...
2015-12-23 05:42:52 - MESSAGE - Import in progress...
2015-12-23 05:42:56 - MESSAGE - Import in progress...
2015-12-23 05:42:59 - MESSAGE - Import in progress...
2015-12-23 05:43:02 - MESSAGE - Import in progress...
2015-12-23 05:43:05 - MESSAGE - Import in progress...
2015-12-23 05:43:07 - MESSAGE - Import in progress...
2015-12-23 05:43:10 - MESSAGE - Import in progress...
2015-12-23 05:43:13 - MESSAGE - Import in progress...
2015-12-23 05:43:16 - MESSAGE - Import in progress...
2015-12-23 05:43:20 - MESSAGE - Import in progress...
2015-12-23 05:43:23 - MESSAGE - Import in progress...
2015-12-23 05:43:26 - MESSAGE - Import in progress...
2015-12-23 05:43:29 - MESSAGE - Import in progress...
2015-12-23 05:43:33 - MESSAGE - Import in progress...
2015-12-23 05:43:36 - MESSAGE - Import in progress...
2015-12-23 05:43:39 - MESSAGE - Import in progress...
2015-12-23 05:43:42 - MESSAGE - Import in progress...
2015-12-23 05:43:45 - MESSAGE - Import in progress...
2015-12-23 05:43:48 - MESSAGE - Import in progress...
2015-12-23 05:43:51 - MESSAGE - Import in progress...
2015-12-23 05:43:54 - MESSAGE - Import in progress...
2015-12-23 05:43:57 - MESSAGE - Import in progress...
2015-12-23 05:44:00 - MESSAGE - Import in progress...
2015-12-23 05:44:04 - MESSAGE - Import in progress...
2015-12-23 05:44:07 - MESSAGE - Import in progress...
2015-12-23 05:44:10 - MESSAGE - Import in progress...
2015-12-23 05:44:13 - MESSAGE - Import in progress...
2015-12-23 05:44:16 - MESSAGE - Import in progress...
2015-12-23 05:44:24 - MESSAGE - Import in progress...
2015-12-23 05:44:27 - MESSAGE - Import in progress...
2015-12-23 05:44:30 - MESSAGE - Import in progress...
2015-12-23 05:44:34 - MESSAGE - Import in progress...
2015-12-23 05:44:34 - MESSAGE - data.xml import completed
2015-12-23 05:44:34 - MESSAGE - menu location set.
2015-12-23 05:44:37 - MESSAGE - Import in progress...
2015-12-23 05:44:39 - MESSAGE - saving redux settings.
2015-12-23 05:44:39 - MESSAGE - redux settings saved.
2015-12-23 05:44:39 - MESSAGE - widgets import started.
2015-12-23 05:44:39 - MESSAGE - widgets import completed.
2015-12-23 05:44:39 - NOTICE - Revslider is not activated. You can import sliders manualy from /sample-data/revslider folder later.
2015-12-23 05:44:39 - MESSAGE - Setting home page
2015-12-23 05:44:39 - NOTICE - Home page couldn't be set.
2015-12-23 05:44:39 - MESSAGE - Import in progress...
